variable_group,cmip6plus_key,cmip6_key,long_name,std_name,units,cmip6_table,name,in_cmip_core
esm-diagnostic,LPmon/shrubFrac,Lmon/shrubFrac,Percentage Cover by Shrub,area_fraction,%,Lmon,shrubFrac,TRUE
esm-diagnostic,LPmon/treeFrac,Lmon/treeFrac,Tree Cover Percentage,area_fraction,%,Lmon,treeFrac,TRUE
forcing,LPday/albsn,Eday/albsn,Snow Albedo,surface_albedo,1,Eday,albsn,FALSE
forcing,LPday/mrrob,Eday/mrrob,Subsurface Runoff,subsurface_runoff_flux,kg m-2 s-1,Eday,mrrob,FALSE
forcing,LPday/mrso,day/mrso,Total Soil Moisture Content,mass_content_of_water_in_soil,kg m-2,day,mrso,TRUE
forcing,LPday/mrsos,day/mrsos,Moisture in Upper Portion of Soil Column,mass_content_of_water_in_soil_layer,kg m-2,day,mrsos,TRUE
forcing,LPfx/fldcapacity,Efx/fldcapacity,Field Capacity,volume_fraction_of_condensed_water_in_soil_at_field_capacity,%,Efx,fldcapacity,FALSE
forcing,LPfx/mrsofc,fx/mrsofc,Capacity of Soil to Store Water (Field Capacity),soil_moisture_content_at_field_capacity,kg m-2,fx,mrsofc,FALSE
forcing,LPfx/rootd,fx/rootd,Maximum Root Depth,root_depth,m,fx,rootd,FALSE
forcing,LPfx/slthick,Efx/slthick,Thickness of Soil Layers,cell_thickness,m,Efx,slthick,FALSE
forcing,LPfx/wilt,Efx/wilt,Wilting Point,volume_fraction_of_condensed_water_in_soil_at_wilting_point,%,Efx,wilt,FALSE
forcing,LPmon/baresoilFrac,Lmon/baresoilFrac,Bare Soil Percentage Area Coverage,area_fraction,%,Lmon,baresoilFrac,TRUE
forcing,LPmon/burntFractionAll,Lmon/burntFractionAll,Percentage of Entire Grid Cell That Is Covered by Burnt Vegetation (All Classes),area_fraction,%,Lmon,burntFractionAll,TRUE
forcing,LPmon/c3PftFrac,Lmon/c3PftFrac,Percentage Cover by C3 Plant Functional Type,area_fraction,%,Lmon,c3PftFrac,TRUE
forcing,LPmon/c4PftFrac,Lmon/c4PftFrac,Percentage Cover by C4 Plant Functional Type,area_fraction,%,Lmon,c4PftFrac,TRUE
forcing,LPmon/cLand,Emon/cLand,Total Carbon in All Terrestrial Carbon Pools,mass_content_of_carbon_in_vegetation_and_litter_and_soil_and_forestry_and_agricultural_products,kg m-2,Emon,cLand,FALSE
forcing,LPmon/cLeaf,Lmon/cLeaf,Carbon Mass in Leaves,leaf_mass_content_of_carbon,kg m-2,Lmon,cLeaf,FALSE
forcing,LPmon/cLitter,Lmon/cLitter,Carbon Mass in Litter Pool,litter_mass_content_of_carbon,kg m-2,Lmon,cLitter,TRUE
forcing,LPmon/cProduct,Lmon/cProduct,Carbon Mass in Products of Land-Use Change,carbon_mass_content_of_forestry_and_agricultural_products,kg m-2,Lmon,cProduct,TRUE
forcing,LPmon/cRoot,Lmon/cRoot,Carbon Mass in Roots,root_mass_content_of_carbon,kg m-2,Lmon,cRoot,FALSE
forcing,LPmon/cropFrac,Lmon/cropFrac,Percentage Crop Cover,area_fraction,%,Lmon,cropFrac,TRUE
forcing,LPmon/cSoil,Emon/cSoil,Carbon Mass in Model Soil Pool,soil_mass_content_of_carbon,kg m-2,Emon,cSoil,TRUE
forcing,LPmon/cSoilLevels,Emon/cSoilLevels,Carbon Mass in Each Model Soil Level (Summed over All Soil Carbon Pools in That Level),soil_mass_content_of_carbon,kg m-2,Emon,cSoilLevels,FALSE
forcing,LPmon/cVeg,Lmon/cVeg,Carbon Mass in Vegetation,vegetation_carbon_content,kg m-2,Lmon,cVeg,TRUE
forcing,LPmon/cWood,Emon/cWood,Carbon Mass in Wood,stem_mass_content_of_carbon,kg m-2,Emon,cWood,FALSE
forcing,LPmon/evspsblpot,Emon/evspsblpot,Potential Evapotranspiration,water_potential_evaporation_flux,kg m-2 s-1,Emon,evspsblpot,FALSE
forcing,LPmon/evspsblsoi,Lmon/evspsblsoi,Water Evaporation from Soil,water_evaporation_flux_from_soil,kg m-2 s-1,Lmon,evspsblsoi,TRUE
forcing,LPmon/evspsblveg,Lmon/evspsblveg,Evaporation from Canopy,water_evaporation_flux_from_canopy,kg m-2 s-1,Lmon,evspsblveg,TRUE
forcing,LPmon/fAnthDisturb,Emon/fAnthDisturb,"Carbon Mass Flux from Vegetation, Litter or Soil Pools into the Atmosphere Due to any Human Activity [kgC m-2 s-1]",tendency_of_atmosphere_mass_content_of_carbon_dioxide_expressed_as_carbon_due_to_anthropogenic_emission,kg m-2 s-1,Emon,fAnthDisturb,FALSE
forcing,LPmon/fDeforestToAtmos,Emon/fDeforestToAtmos,Deforested Biomass That Goes into Atmosphere as a Result of Anthropogenic Land-Use Change [kgC m-2 s-1],surface_net_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_anthropogenic_land_use_change,kg m-2 s-1,Emon,fDeforestToAtmos,FALSE
forcing,LPmon/fDeforestToProduct,Emon/fDeforestToProduct,Deforested Biomass That Goes into Product Pool as a Result of Anthropogenic Land-Use Change,carbon_mass_flux_into_forestry_and_agricultural_products_due_to_anthropogenic_land_use_or_land_cover_change,kg m-2 s-1,Emon,fDeforestToProduct,FALSE
forcing,LPmon/fFire,Lmon/fFire,Carbon Mass Flux into Atmosphere Due to CO2 Emission from Fire Excluding Land-Use Change [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_fires_excluding_anthropogenic_land_use_change,kg m-2 s-1,Lmon,fFire,TRUE
